"MISSION","SETNO","SDATE","DMIN","DMAX","SURFACE_TEMPERATURE","BOTTOM_TEMPERATURE","LATITUDE","LONGITUDE","YEAR","XTYPE","XTYPEDESC","SPEC","TOTWGT","TOTNO","COMM"
"NED2013022",185,"2013-07-25 21:24:00",52,54,17.7,1.77,45.2711666666667,-59.4696666666667,2013,1,"Stratified random survey set",10,0.004,1,"COD(ATLANTIC)"
"NED2010001",3,"2010-02-27 02:38:00",43,45,5.21,6.32,42.0875,-66.269,2010,1,"Stratified random survey set",10,28.37,10,"COD(ATLANTIC)"
"NED2011025",237,"2011-08-03 11:48:00",35,37,14.83,4.27,44.427,-58.304,2011,1,"Stratified random survey set",10,0.398,1,"COD(ATLANTIC)"
"NED2013022",166,"2013-07-21 23:41:00",75,77,18.15,3.23,44.3505,-60.7395,2013,1,"Stratified random survey set",10,0.57,6,"COD(ATLANTIC)"
"TEL2016002",37,"2016-02-27 22:50:00",35,37,NA,NA,41.9076666666667,-66.9186666666667,2016,1,"Stratified random survey set",10,7.19,3,"COD(ATLANTIC)"
"NED2016116",6,"2016-08-11 11:36:00",133,146,NA,NA,44.7828333333333,-57.3198333333333,2016,5,"Comparative fishing experiment",10,2.52,2,"COD(ATLANTIC)"
"NED2014002",9,"2014-02-22 03:39:00",43,45,NA,NA,42.0125,-66.2653333333333,2014,1,"Stratified random survey set",10,83.97,31,"COD(ATLANTIC)"
"NED2016016",102,"2016-07-21 07:20:00",92,100,15.3,2.9,45.0305,-60.893,2016,1,"Stratified random survey set",10,0.542,1,"COD(ATLANTIC)"
"NED2013028",142,"2013-08-14 19:10:00",13,14,NA,NA,44.161,-60.8101666666667,2013,5,"Comparative fishing experiment",10,5.5,27,"COD(ATLANTIC)"
"NED2011002",105,"2011-03-13 13:52:00",40,45,NA,NA,42.0205,-69.8833333333333,2011,1,"Stratified random survey set",10,1.26,4,"COD(ATLANTIC)"
"NED2012022",57,"2012-07-11 18:45:00",39,40,16.46,10.39,42.6503333333333,-66.047,2012,1,"Stratified random survey set",10,11.57,8,"COD(ATLANTIC)"
"NED2010001",66,"2010-03-08 00:58:00",45,48,NA,NA,41.7708333333333,-66.1116666666667,2010,1,"Stratified random survey set",10,27.85,13,"COD(ATLANTIC)"
"NED2012022",35,"2012-07-08 11:07:00",26,28,15.4,6.07,43.8923333333333,-61.4785,2012,1,"Stratified random survey set",10,40.4,95,"COD(ATLANTIC)"
"NED2016016",118,"2016-07-23 03:44:00",87,90,14.9,4.1,45.7945,-59.1701666666667,2016,1,"Stratified random survey set",10,2.56,2,"COD(ATLANTIC)"
"NED2010027",58,"2010-07-14 01:55:00",46,49,9.6,9.57,44.7306666666667,-66.8915,2010,1,"Stratified random survey set",10,0.198,2,"COD(ATLANTIC)"
"TEL2016003",3,"2016-03-10 19:00:00",57,59,NA,NA,42.7536666666667,-64.899,2016,1,"Stratified random survey set",10,9.44,8,"COD(ATLANTIC)"
"TEL2017002",48,"2017-03-27 10:31:00",44,48,NA,NA,41.9983333333333,-66.48,2017,1,"Stratified random survey set",10,113.89,46,"COD(ATLANTIC)"
"NED2013028",83,"2013-08-10 17:52:00",104,110,NA,NA,42.7863333333333,-67.3216666666667,2013,5,"Comparative fishing experiment",10,2.38,1,"COD(ATLANTIC)"
"NED2013028",23,"2013-08-02 18:26:00",81,94,NA,NA,44.2826666666667,-60.3768333333333,2013,5,"Comparative fishing experiment",10,1.07,5,"COD(ATLANTIC)"
"NED2010001",4,"2010-02-27 04:31:00",40,42,NA,NA,42.0251666666667,-66.293,2010,1,"Stratified random survey set",10,111.56,49,"COD(ATLANTIC)"
"NED2013022",217,"2013-07-29 09:19:00",85,101,17.25,2.35,45.5965,-60.0276666666667,2013,1,"Stratified random survey set",10,8.21,12,"COD(ATLANTIC)"
"NED2017020",173,"2017-07-25 09:39:00",119,124,17.03,4.02,45.8971666666667,-58.6096666666667,2017,1,"Stratified random survey set",10,4.86,4,"COD(ATLANTIC)"
"NED2013028",143,"2013-08-14 22:13:00",36,37,NA,NA,44.129,-60.4643333333333,2013,5,"Comparative fishing experiment",10,0.168,1,"COD(ATLANTIC)"
"NED2014002",54,"2014-03-01 01:32:00",82,121,4.76,10.09,40.4811666666667,-68.1411666666667,2014,3,"Unrepresentative catch due to net damage",10,4.88,2,"COD(ATLANTIC)"
"NED2014018",165,"2014-08-08 15:08:00",38,43,20.88,1.42,46.0323333333333,-59.4068333333333,2014,1,"Stratified random survey set",10,1.322,3,"COD(ATLANTIC)"
"NED2012022",58,"2012-07-11 20:20:00",33,34,14.03,10.83,42.6933333333333,-66.1296666666667,2012,1,"Stratified random survey set",10,3.33,2,"COD(ATLANTIC)"
"NED2010001",67,"2010-03-08 03:06:00",48,48,3.76,6.55,41.8993333333333,-65.9866666666667,2010,1,"Stratified random survey set",10,7.31,3,"COD(ATLANTIC)"
"NED2010027",20,"2010-07-09 00:55:00",47,49,17.87,4.59,42.9675,-64.6595,2010,1,"Stratified random survey set",10,2.7,6,"COD(ATLANTIC)"
"NED2012002",13,"2012-02-15 03:24:00",66,66,6.86,7.09,42.1096666666667,-67.4555,2012,1,"Stratified random survey set",10,5.1,3,"COD(ATLANTIC)"
"NED2014002",10,"2014-02-22 07:21:00",46,48,6.01,6.17,42.0736666666667,-66.2673333333333,2014,1,"Stratified random survey set",10,16.89,13,"COD(ATLANTIC)"
"NED2012022",169,"2012-07-28 13:45:00",57,63,18.08,2.86,46.1413333333333,-59.0645,2012,1,"Stratified random survey set",10,0.668,2,"COD(ATLANTIC)"
"NED2016016",103,"2016-07-21 10:46:00",34,35,15.6,3,44.638,-60.8523333333333,2016,1,"Stratified random survey set",10,1.65,4,"COD(ATLANTIC)"
"NED2013022",167,"2013-07-22 01:41:00",24,26,16.85,4.91,44.467,-60.6213333333333,2013,1,"Stratified random survey set",10,0.189,9,"COD(ATLANTIC)"
"NED2011025",45,"2011-07-10 10:04:00",68,72,9.62,7.79,43.3295,-66.718,2011,1,"Stratified random survey set",10,5.88,3,"COD(ATLANTIC)"
"NED2010002",75,"2010-03-28 19:30:00",45,46,3.04,3.78,43.3875,-61.5626666666667,2010,1,"Stratified random survey set",10,4.86,5,"COD(ATLANTIC)"
"TEL2018023",48,"2018-07-21 04:30:00",134,140,14.9,10.1,42.8803333333333,-67.3923333333333,2018,1,"Stratified random survey set",10,0.223,1,"COD(ATLANTIC)"
"NED2017020",139,"2017-07-20 22:32:00",71,75,16.06,1.98,45.2675,-60.6195,2017,1,"Stratified random survey set",10,0.15,1,"COD(ATLANTIC)"
"NED2015017",19,"2015-07-01 21:19:00",48,49,11.63,6.86,43.343,-61.8325,2015,1,"Stratified random survey set",10,0.002,1,"COD(ATLANTIC)"
"NED2017020",52,"2017-07-09 23:57:00",37,38,10.83,10.21,45.237,-65.1318333333333,2017,1,"Stratified random survey set",10,0.004,3,"COD(ATLANTIC)"
"TEL2016003",4,"2016-03-11 00:26:00",46,46,NA,NA,43.2553333333333,-64.1813333333333,2016,1,"Stratified random survey set",10,7.66,5,"COD(ATLANTIC)"
"NED2011025",94,"2011-07-15 12:45:00",52,56,13.72,7.11,41.9196666666667,-65.975,2011,1,"Stratified random survey set",10,1.526,1,"COD(ATLANTIC)"
"NED2010001",5,"2010-02-27 07:48:00",43,45,NA,NA,41.983,-66.3313333333333,2010,1,"Stratified random survey set",10,4.35,2,"COD(ATLANTIC)"
"NED2012022",59,"2012-07-11 21:46:00",33,34,NA,NA,42.7111666666667,-66.1968333333333,2012,1,"Stratified random survey set",10,3.312,2,"COD(ATLANTIC)"
"NED2011002",106,"2011-03-13 17:25:00",92,94,NA,NA,41.652,-69.3625,2011,1,"Stratified random survey set",10,2.18,3,"COD(ATLANTIC)"
"NED2013028",24,"2013-08-02 19:43:00",89,94,NA,NA,44.2631666666667,-60.4126666666667,2013,5,"Comparative fishing experiment",10,0.432,1,"COD(ATLANTIC)"
"NED2012022",217,"2012-08-02 20:30:00",34,38,17.64,4.48,44.4773333333333,-59.2306666666667,2012,1,"Stratified random survey set",10,0.202,3,"COD(ATLANTIC)"
"NED2010027",174,"2010-07-30 02:03:00",25,27,16.74,5,44.0653333333333,-60.2305,2010,1,"Stratified random survey set",10,0.41,7,"COD(ATLANTIC)"
"NED2014002",11,"2014-02-22 09:32:00",119,122,5.72,9.78,42.2206666666667,-66.4783333333333,2014,1,"Stratified random survey set",10,41.92,11,"COD(ATLANTIC)"
"NED2014002",31,"2014-02-24 06:54:00",35,37,NA,NA,41.7898333333333,-66.6891666666667,2014,1,"Stratified random survey set",10,1.148,1,"COD(ATLANTIC)"
"NED2010027",60,"2010-07-14 08:39:00",96,97,14.22,7.5,44.329,-66.8243333333333,2010,1,"Stratified random survey set",10,1.98,2,"COD(ATLANTIC)"
"NED2012002",79,"2012-03-03 15:54:00",46,48,NA,NA,41.7688333333333,-66.2555,2012,1,"Stratified random survey set",10,1.376,1,"COD(ATLANTIC)"
"NED2017020",214,"2017-08-02 22:25:00",64,66,17.19,6.22,44.4186666666667,-59.7263333333333,2017,1,"Stratified random survey set",10,0.67,4,"COD(ATLANTIC)"
"NED2015017",74,"2015-07-10 13:52:00",101,106,NA,NA,44.2688333333333,-66.5621666666667,2015,1,"Stratified random survey set",10,1.77,4,"COD(ATLANTIC)"
"NED2013028",144,"2013-08-14 23:34:00",35,38,NA,NA,44.1311666666667,-60.457,2013,5,"Comparative fishing experiment",10,0.07,6,"COD(ATLANTIC)"
"NED2012002",14,"2012-02-15 05:58:00",24,26,NA,NA,41.9278333333333,-67.5373333333333,2012,1,"Stratified random survey set",10,1.06,2,"COD(ATLANTIC)"
"NED2010002",1,"2010-03-11 04:46:00",55,59,0.5,2.11,44.8118333333333,-61.8228333333333,2010,1,"Stratified random survey set",10,0.36,7,"COD(ATLANTIC)"
"NED2013002",39,"2013-03-04 10:12:00",48,50,5.97,6.74,41.9755,-66.1928333333333,2013,1,"Stratified random survey set",10,1.45,1,"COD(ATLANTIC)"
"NED2014102",4,"2014-03-08 14:20:00",103,104,NA,NA,43.5211666666667,-63.6103333333333,2014,5,"Comparative fishing experiment",10,0.065,1,"COD(ATLANTIC)"
"NED2015017",20,"2015-07-02 00:35:00",42,49,12.45,5.98,43.4013333333333,-62.3195,2015,1,"Stratified random survey set",10,0.002,1,"COD(ATLANTIC)"
"NED2012002",80,"2012-03-03 17:55:00",46,49,NA,NA,41.7401666666667,-66.1968333333333,2012,1,"Stratified random survey set",10,0.83,1,"COD(ATLANTIC)"
"NED2015017",41,"2015-07-04 04:07:00",100,107,12.79,10.52,44.0233333333333,-63.4733333333333,2015,1,"Stratified random survey set",10,0.001,1,"COD(ATLANTIC)"
"NED2014018",60,"2014-07-21 03:01:00",149,152,15.27,8.36,42.6576666666667,-67.0556666666667,2014,1,"Stratified random survey set",10,1.218,1,"COD(ATLANTIC)"
"NED2011025",8,"2011-07-06 18:32:00",50,51,14.19,5.13,43.199,-63.8806666666667,2011,1,"Stratified random survey set",10,0.964,1,"COD(ATLANTIC)"
"NED2011025",163,"2011-07-22 10:30:00",42,46,12.92,5.56,44.2915,-61.1416666666667,2011,1,"Stratified random survey set",10,1.252,3,"COD(ATLANTIC)"
"NED2010027",21,"2010-07-09 03:12:00",59,61,16.91,7.21,42.824,-64.4596666666667,2010,1,"Stratified random survey set",10,9.843,7,"COD(ATLANTIC)"
"NED2013028",25,"2013-08-03 00:10:00",35,37,NA,NA,43.9896666666667,-61.2346666666667,2013,5,"Comparative fishing experiment",10,0.286,1,"COD(ATLANTIC)"
"NED2012022",186,"2012-07-30 17:50:00",73,81,18.3,3.22,45.549,-58.6548333333333,2012,1,"Stratified random survey set",10,1.204,3,"COD(ATLANTIC)"
"NED2017020",174,"2017-07-25 12:24:00",75,79,15.61,2.7,45.7795,-58.1965,2017,1,"Stratified random survey set",10,1.678,3,"COD(ATLANTIC)"
"NED2014002",12,"2014-02-22 12:38:00",42,45,NA,NA,42.0268333333333,-66.5421666666667,2014,1,"Stratified random survey set",10,10.15,7,"COD(ATLANTIC)"
"NED2014018",184,"2014-08-10 16:46:00",79,91,21.62,5.52,46.0336666666667,-58.7828333333333,2014,1,"Stratified random survey set",10,20.83,13,"COD(ATLANTIC)"
"NED2011025",195,"2011-07-30 08:40:00",38,40,15.39,2.12,46.4103333333333,-60.1718333333333,2011,1,"Stratified random survey set",10,0.003,1,"COD(ATLANTIC)"
"NED2012022",218,"2012-08-02 22:24:00",74,100,18.05,6.19,44.3728333333333,-59.2681666666667,2012,1,"Stratified random survey set",10,0.438,1,"COD(ATLANTIC)"
"NED2010027",175,"2010-07-30 04:13:00",56,60,17.78,4.04,44.257,-60.2188333333333,2010,1,"Stratified random survey set",10,1.39,3,"COD(ATLANTIC)"
"NED2013028",46,"2013-08-07 20:28:00",45,46,NA,NA,43.2028333333333,-64.1771666666667,2013,5,"Comparative fishing experiment",10,4.76,3,"COD(ATLANTIC)"
"NED2011002",107,"2011-03-13 19:46:00",92,93,NA,NA,41.7223333333333,-69.035,2011,1,"Stratified random survey set",10,3.41,2,"COD(ATLANTIC)"
"NED2013022",220,"2013-07-29 18:48:00",73,74,18.27,2.8,45.8926666666667,-59.0831666666667,2013,1,"Stratified random survey set",10,0.411,3,"COD(ATLANTIC)"
"NED2011025",148,"2011-07-21 01:15:00",115,121,12.78,5.33,44.2381666666667,-59.6508333333333,2011,1,"Stratified random survey set",10,2.52,4,"COD(ATLANTIC)"
"NED2014018",126,"2014-08-01 10:51:00",36,37,20.47,4.8,44.3978333333333,-58.9008333333333,2014,1,"Stratified random survey set",10,0.518,1,"COD(ATLANTIC)"
"NED2014102",5,"2014-03-08 19:15:00",65,68,NA,NA,43.4571666666667,-64.0118333333333,2014,5,"Comparative fishing experiment",10,0.974,4,"COD(ATLANTIC)"
"NED2010001",7,"2010-02-27 11:52:00",46,48,5.74,5.71,42.0586666666667,-66.4285,2010,1,"Stratified random survey set",10,65.65,31,"COD(ATLANTIC)"
"NED2017020",215,"2017-08-03 00:18:00",30,31,18.6,4.38,44.524,-59.6963333333333,2017,1,"Stratified random survey set",10,0.052,1,"COD(ATLANTIC)"
"NED2015017",75,"2015-07-10 18:12:00",45,46,9.47,8.36,44.7948333333333,-65.7936666666667,2015,1,"Stratified random survey set",10,2.66,19,"COD(ATLANTIC)"
"NED2015002",23,"2015-03-21 04:12:00",128,133,3,6.8,41.9778333333333,-65.7463333333333,2015,1,"Stratified random survey set",10,10.64,4,"COD(ATLANTIC)"
"NED2015017",43,"2015-07-06 22:35:00",90,94,13.94,10.25,44.048,-63.7898333333333,2015,1,"Stratified random survey set",10,0.003,3,"COD(ATLANTIC)"
"NED2010002",77,"2010-03-28 23:26:00",36,39,2.88,2.79,43.5243333333333,-61.2965,2010,1,"Stratified random survey set",10,2.8,11,"COD(ATLANTIC)"
"NED2013028",26,"2013-08-03 01:16:00",36,38,NA,NA,43.9845,-61.2315,2013,5,"Comparative fishing experiment",10,0.014,6,"COD(ATLANTIC)"
"NED2010002",3,"2010-03-11 12:12:00",176,178,0.93,NA,44.8843333333333,-61.1961666666667,2010,1,"Stratified random survey set",10,2.38,9,"COD(ATLANTIC)"
"TEL2016003",7,"2016-03-14 21:45:00",80,81,NA,NA,44.1598333333333,-63.4298333333333,2016,1,"Stratified random survey set",10,0.025,1,"COD(ATLANTIC)"
"NED2017020",15,"2017-07-05 19:25:00",90,91,10.5,10.7,43.7896666666667,-64.2528333333333,2017,1,"Stratified random survey set",10,0.279,1,"COD(ATLANTIC)"
"TEL2017002",10,"2017-03-22 06:39:00",34,37,4.6,4.7,41.6433333333333,-66.93,2017,1,"Stratified random survey set",10,2.35,1,"COD(ATLANTIC)"
"NED2011025",98,"2011-07-15 21:19:00",72,74,17.61,11.08,41.4163333333333,-66.0978333333333,2011,1,"Stratified random survey set",10,2.67,1,"COD(ATLANTIC)"
"NED2012002",139,"2012-03-15 23:48:00",48,49,2.18,5.36,43.446,-64.7823333333333,2012,1,"Stratified random survey set",10,0.03,2,"COD(ATLANTIC)"
"NED2016016",12,"2016-06-30 08:51:00",61,71,15.1,10.7,43.5261666666667,-64.0368333333333,2016,1,"Stratified random survey set",10,0.534,1,"COD(ATLANTIC)"
"NED2010001",8,"2010-02-27 13:49:00",36,39,5.28,5.36,42.0566666666667,-66.6321666666667,2010,1,"Stratified random survey set",10,19.43,7,"COD(ATLANTIC)"
"NED2012022",62,"2012-07-12 04:43:00",98,100,13.86,10.93,42.906,-66.5511666666667,2012,1,"Stratified random survey set",10,5.79,2,"COD(ATLANTIC)"
"NED2013002",99,"2013-03-17 02:37:00",58,59,NA,NA,42.1485,-67.2183333333333,2013,5,"Comparative fishing experiment",10,17.2,22,"COD(ATLANTIC)"
"NED2010027",176,"2010-07-30 07:16:00",40,44,17.65,2.79,44.5445,-59.809,2010,1,"Stratified random survey set",10,0.12,1,"COD(ATLANTIC)"
"NED2013022",221,"2013-07-29 20:52:00",44,46,18.49,1.5,46.0465,-59.1181666666667,2013,1,"Stratified random survey set",10,4.086,7,"COD(ATLANTIC)"
"VEN2018002",63,"2018-03-26 21:46:00",45,48,NA,7.6,41.922,-66.1715,2018,1,"Stratified random survey set",10,25.22,12,"COD(ATLANTIC)"
"NED2014102",6,"2014-03-08 23:24:00",48,51,NA,NA,43.3063333333333,-64.1116666666667,2014,5,"Comparative fishing experiment",10,0.214,5,"COD(ATLANTIC)"
"NED2015017",132,"2015-08-05 13:01:00",34,35,17.91,2.08,44.6283333333333,-60.8366666666667,2015,1,"Stratified random survey set",10,1.262,3,"COD(ATLANTIC)"
"NED2014018",63,"2014-07-24 22:30:00",87,87,13.49,7.44,43.2556666666667,-65.115,2014,1,"Stratified random survey set",10,2.298,1,"COD(ATLANTIC)"
"NED2017020",233,"2017-08-05 04:30:00",34,38,18.24,3.87,43.5506666666667,-60.8715,2017,1,"Stratified random survey set",10,0.002,3,"COD(ATLANTIC)"
"NED2013022",115,"2013-07-16 21:19:00",55,55,19.14,7.14,43.6335,-62.1515,2013,1,"Stratified random survey set",10,0.238,5,"COD(ATLANTIC)"
"NED2011025",149,"2011-07-21 04:30:00",61,68,12.61,4.49,44.3453333333333,-60.0675,2011,1,"Stratified random survey set",10,0.138,1,"COD(ATLANTIC)"
"NED2014002",14,"2014-02-22 16:54:00",39,42,5.55,5.56,42.0235,-66.682,2014,1,"Stratified random survey set",10,1.862,1,"COD(ATLANTIC)"
"NED2016016",13,"2016-07-04 20:42:00",83,86,14.8,10.8,44.1248333333333,-63.5836666666667,2016,1,"Stratified random survey set",10,0.003,1,"COD(ATLANTIC)"
"NED2010027",23,"2010-07-09 07:54:00",54,57,17.58,5.71,42.7673333333333,-64.9545,2010,1,"Stratified random survey set",10,1.462,2,"COD(ATLANTIC)"
"NED2011025",99,"2011-07-16 00:40:00",69,75,19.69,10.43,41.7711666666667,-65.8151666666667,2011,1,"Stratified random survey set",10,1.48,1,"COD(ATLANTIC)"
"NED2012002",140,"2012-03-16 01:53:00",38,40,1.9,5.17,43.4351666666667,-64.6146666666667,2012,1,"Stratified random survey set",10,2.46,5,"COD(ATLANTIC)"
"NED2017020",94,"2017-07-14 06:24:00",51,55,14.94,7.67,41.8481666666667,-65.9493333333333,2017,1,"Stratified random survey set",10,305.48,84,"COD(ATLANTIC)"
"NED2010027",62,"2010-07-14 15:07:00",90,95,17.3,9.08,43.8103333333333,-67.117,2010,1,"Stratified random survey set",10,5.55,1,"COD(ATLANTIC)"
"NED2010001",9,"2010-02-27 16:37:00",36,41,NA,NA,42.1231666666667,-66.7475,2010,1,"Stratified random survey set",10,272.61,154,"COD(ATLANTIC)"
"NED2012002",84,"2012-03-04 00:37:00",59,60,NA,NA,41.6321666666667,-65.958,2012,1,"Stratified random survey set",10,13.03,6,"COD(ATLANTIC)"
"NED2015017",76,"2015-07-10 19:42:00",43,44,NA,NA,44.8503333333333,-65.6815,2015,1,"Stratified random survey set",10,0.086,4,"COD(ATLANTIC)"
"NED2011025",50,"2011-07-11 01:11:00",107,109,12.44,7.81,44.5038333333333,-66.4268333333333,2011,1,"Stratified random survey set",10,5.73,2,"COD(ATLANTIC)"
"NED2010027",177,"2010-07-30 09:31:00",102,107,17.31,2.08,44.7085,-59.7058333333333,2010,1,"Stratified random survey set",10,0.788,1,"COD(ATLANTIC)"
"NED2012022",64,"2012-07-12 08:22:00",90,95,14.38,11.07,42.9171666666667,-66.8971666666667,2012,1,"Stratified random survey set",10,1.764,1,"COD(ATLANTIC)"
"NED2014102",7,"2014-03-09 03:15:00",46,48,NA,NA,43.1538333333333,-64.1895,2014,5,"Comparative fishing experiment",10,5.77,12,"COD(ATLANTIC)"
"NED2013022",116,"2013-07-16 23:15:00",55,56,19.04,6.13,43.4553333333333,-62.1776666666667,2013,1,"Stratified random survey set",10,0.008,7,"COD(ATLANTIC)"
"NED2012002",105,"2012-03-11 21:33:00",46,48,3,5.86,42.9253333333333,-64.7118333333333,2012,1,"Stratified random survey set",10,4.28,11,"COD(ATLANTIC)"
"NED2013022",54,"2013-07-08 09:20:00",114,117,13.23,9.07,43.57,-67.1495,2013,1,"Stratified random survey set",10,0.002,1,"COD(ATLANTIC)"
"NED2010001",32,"2010-03-02 15:59:00",24,36,NA,NA,41.1951666666667,-66.9196666666667,2010,1,"Stratified random survey set",10,2.1,1,"COD(ATLANTIC)"
"NED2011002",39,"2011-02-28 07:53:00",49,50,NA,NA,41.5805,-66.2621666666667,2011,1,"Stratified random survey set",10,45.88,20,"COD(ATLANTIC)"
"NED2011002",109,"2011-03-14 00:42:00",93,96,NA,NA,41.9083333333333,-68.4855,2011,1,"Stratified random survey set",10,2.18,1,"COD(ATLANTIC)"
"NED2013028",148,"2013-08-15 07:18:00",34,36,NA,NA,44.0803333333333,-59.993,2013,5,"Comparative fishing experiment",10,0.018,4,"COD(ATLANTIC)"
"NED2012002",85,"2012-03-04 02:32:00",84,88,NA,NA,41.7943333333333,-65.7523333333333,2012,1,"Stratified random survey set",10,5.16,2,"COD(ATLANTIC)"
"NED2013002",100,"2013-03-17 04:31:00",116,117,NA,NA,42.2301666666667,-67.1123333333333,2013,5,"Comparative fishing experiment",10,10.66,6,"COD(ATLANTIC)"
"NED2016116",36,"2016-08-14 03:21:00",37,39,NA,NA,43.7965,-61.7616666666667,2016,5,"Comparative fishing experiment",10,12.4,26,"COD(ATLANTIC)"
"VEN2018002",22,"2018-03-23 21:30:00",27,30,NA,5.9,41.696,-67.2446666666667,2018,1,"Stratified random survey set",10,0.32,3,"COD(ATLANTIC)"
"NED2015017",25,"2015-07-02 12:00:00",55,57,11.71,10.85,43.4168333333333,-62.9868333333333,2015,1,"Stratified random survey set",10,0.006,1,"COD(ATLANTIC)"
"NED2016016",74,"2016-07-13 15:03:00",78,81,14.1,8.3,44.1618333333333,-67.0211666666667,2016,1,"Stratified random survey set",10,22.76,16,"COD(ATLANTIC)"
"NED2010027",24,"2010-07-09 11:12:00",66,73,14.72,4.15,42.9658333333333,-65.4258333333333,2010,1,"Stratified random survey set",10,12.43,8,"COD(ATLANTIC)"
"NED2012002",20,"2012-02-15 20:26:00",20,22,NA,NA,41.3915,-67.6901666666667,2012,1,"Stratified random survey set",10,3.98,1,"COD(ATLANTIC)"
"NED2010001",10,"2010-02-27 19:38:00",34,35,5.31,5.64,42.1275,-66.9391666666667,2010,1,"Stratified random survey set",10,29.71,15,"COD(ATLANTIC)"
"NED2015017",185,"2015-08-11 20:25:00",76,81,15.22,5.08,45.8138333333333,-58.3096666666667,2015,1,"Stratified random survey set",10,1.14,3,"COD(ATLANTIC)"
"NED2014102",8,"2014-03-09 08:10:00",48,48,NA,NA,43.0305,-64.1628333333333,2014,5,"Comparative fishing experiment",10,0.368,2,"COD(ATLANTIC)"
"NED2013002",45,"2013-03-10 22:53:00",114,116,NA,NA,42.0558333333333,-65.91,2013,1,"Stratified random survey set",10,17.52,8,"COD(ATLANTIC)"
"NED2011002",40,"2011-02-28 09:47:00",48,50,NA,NA,41.5511666666667,-66.2223333333333,2011,1,"Stratified random survey set",10,0.538,1,"COD(ATLANTIC)"
"NED2017020",217,"2017-08-03 05:53:00",50,57,18.12,3.34,44.5438333333333,-60.0348333333333,2017,1,"Stratified random survey set",10,0.414,1,"COD(ATLANTIC)"
"NED2011025",12,"2011-07-07 01:53:00",49,50,14.54,4.21,43.2121666666667,-64.2466666666667,2011,1,"Stratified random survey set",10,1.8,13,"COD(ATLANTIC)"
